Titolo,Tipo,Anno,Stagione,Stagione/Episodio,Nome File,Cartella,Estensione,Dimensione (MB),Disco,Percorso Completo,Data Scansione
La Carica Dei 101,Film,,,,(Disney) - La Carica Dei 101 HD.mkv,.,.mkv,4484.4,Memoria 1,F:\Film Miei HD\(Disney) - La Carica Dei 101 HD.mkv,2026-08-20
La Collezionista,Film,,,,La Collezionista HD.mkv,.,.mkv,,Memoria 3,F:\La Collezionista HD.mkv,2026-08-20
La Festa Prima Delle Feste,Film,,,,La Festa Prima Delle Feste HD.mkv,.,.mkv,,Memoria 3,F:\La Festa Prima Delle Feste HD.mkv,2026-08-20
La Foresta Dei Sogni,Film,,,,La Foresta Dei Sogni HD.mkv,.,.mkv,,Memoria 3,F:\La Foresta Dei Sogni HD.mkv,2026-08-20
La Forma Dell'Acqua,Film,,,,La Forma Dell'Acqua HD.mkv,.,.mkv,,Memoria 3,F:\La Forma Dell'Acqua HD.mkv,2026-08-20
La Furia Dei Titani,Film,,,,La Furia Dei Titani HD.mkv,.,.mkv,8143.7,Memoria 1,F:\Film Miei HD\La Furia Dei Titani HD.mkv,2026-08-20
La Grande Scommessa,Film,,,,La Grande Scommessa HD.mkv,.,.mkv,12435.1,Memoria 2,F:La Grande Scommessa HD.mkv,2026-08-20
La La Land,Film,,,,La La Land HD.mkv,.,.mkv,,Memoria 3,F:\La La Land HD.mkv,2026-08-20
La Leggenda Del Pianista Sull'Oceano,Film,,,,La Leggenda Del Pianista Sull'Oceano HD.mkv,.,.mkv,,Memoria 3,F:\La Leggenda Del Pianista Sull'Oceano HD.mkv,2026-08-20
La Mafia Uccide Solo D'Estate,Film,,,,La Mafia Uccide Solo D'Estate HD.mkv,.,.mkv,,Memoria 3,F:\La Mafia Uccide Solo D'Estate HD.mkv,2026-08-20
La Migliore Offerta,Film,,,,La Migliore Offerta HD.mkv,.,.mkv,11729.4,Memoria 1,F:\Film Miei HD\La Migliore Offerta HD.mkv,2026-08-20
La Mummia,Film,,,,La Mummia HD.mkv,.,.mkv,8146.4,Memoria 1,F:\Film Miei HD\La Mummia HD.mkv,2026-08-20
La Mummia 2 - Il Ritorno,Film,,,,La Mummia 2 - Il Ritorno HD.mkv,.,.mkv,7241.7,Memoria 1,F:\Film Miei HD\La Mummia 2 - Il Ritorno HD.mkv,2026-08-20
La Mummia 3 - La Tomba Dell'imperatore Dragone,Film,,,,La Mummia 3 - La Tomba Dell'imperatore Dragone HD.mkv,.,.mkv,10288.0,Memoria 1,F:\Film Miei HD\La Mummia 3 - La Tomba Dell'imperatore Dragone HD.mkv,2026-08-20
La Notte Del Giudizio - Election Year,Film,,,,La Notte Del Giudizio - Election Year HD.mkv,.,.mkv,,Memoria 3,F:\La Notte Del Giudizio - Election Year HD.mkv,2026-08-20
La Pantera Rosa,Film,,,,La Pantera Rosa HD.mkv,.,.mkv,4480.9,Memoria 2,F:La Pantera Rosa HD.mkv,2026-08-20
La Pazza Gioia,Film,,,,La Pazza Gioia HD.mkv,.,.mkv,,Memoria 3,F:\La Pazza Gioia HD.mkv,2026-08-20
La Promessa Dell'Assassino,Film,,,,La Promessa Dell'Assassino HD.mkv,.,.mkv,,Memoria 3,F:\La Promessa Dell'Assassino HD.mkv,2026-08-20
La Quinta Onda,Film,,,,La Quinta Onda HD.mkv,.,.mkv,9773.9,Memoria 2,F:La Quinta Onda HD.mkv,2026-08-20
La Ragazza Del Treno,Film,,,,La Ragazza Del Treno HD.mkv,.,.mkv,,Memoria 3,F:\La Ragazza Del Treno HD.mkv,2026-08-20
La Ragazza Della Porta Accanto,Film,,,,La Ragazza Della Porta Accanto HD.mkv,.,.mkv,4487.7,Memoria 1,F:\Film Miei HD\La Ragazza Della Porta Accanto HD.mkv,2026-08-20
La Regina Dei Castelli Di Carta,Film,,,,La Regina Dei Castelli Di Carta HD.mkv,.,.mkv,,Memoria 3,F:\La Regina Dei Castelli Di Carta HD.mkv,2026-08-20
La Spada Nella Roccia,Film,,,,(Disney) - La Spada Nella Roccia HD.mkv,.,.mkv,4487.5,Memoria 1,F:\Film Miei HD\(Disney) - La Spada Nella Roccia HD.mkv,2026-08-20
La Teoria Del Tutto,Film,,,,La Teoria Del Tutto HD.mkv,.,.mkv,8751.7,Memoria 1,F:\Film Miei HD\La Teoria Del Tutto HD.mkv,2026-08-20
La Torre Nera,Film,,,,La Torre Nera HD.mkv,.,.mkv,,Memoria 3,F:\La Torre Nera HD.mkv,2026-08-20
La Truffa Dei Logan,Film,,,,La Truffa Dei Logan HD.mkv,.,.mkv,,Memoria 3,F:\La Truffa Dei Logan HD.mkv,2026-08-20
La Verità Sta In Cielo,Film,,,,La Verità Sta In Cielo HD.mkv,.,.mkv,,Memoria 3,F:\La Verità Sta In Cielo HD.mkv,2026-08-20
La Vita Di Adele,Film,,,,La Vita Di Adele HD.mkv,.,.mkv,16808.5,Memoria 1,F:\Film Miei HD\La Vita Di Adele HD.mkv,2026-08-20
La Vita Di David Gale,Film,,,,La Vita Di David Gale HD.mkv,.,.mkv,8367.9,Memoria 1,F:\Film Miei HD\La Vita Di David Gale HD.mkv,2026-08-20
La Vita E' Una Cosa Meravigliosa,Film,,,,La Vita E' Una Cosa Meravigliosa HD.mkv,.,.mkv,5977.5,Memoria 2,F:La Vita E' Una Cosa Meravigliosa HD.mkv,2026-08-20
La Vita è Bella,Film,,,,La Vita è Bella HD.mkv,.,.mkv,8144.3,Memoria 1,F:\Film Miei HD\La Vita è Bella HD.mkv,2026-08-20
Lanterna Verde,Film,,,,Lanterna Verde HD.mkv,.,.mkv,8148.0,Memoria 1,F:\Film Miei HD\Lanterna Verde HD.mkv,2026-08-20
Lasciami Entrare,Film,,,,Lasciami Entrare HD.mkv,.,.mkv,6177.9,Memoria 1,F:\Film Miei HD\Lasciami Entrare HD.mkv,2026-08-20
Lawless,Film,,,,Lawless HD.mkv,.,.mkv,5859.0,Memoria 1,F:\Film Miei HD\Lawless HD.mkv,2026-08-20
Le Ali Della Libertà,Film,,,,Le Ali Della Libertà HD.mkv,.,.mkv,5169.7,Memoria 1,F:\Film Miei HD\Le Ali Della Libertà HD.mkv,2026-08-20
Le Crociate,Film,,,,Le Crociate HD.mkv,.,.mkv,8148.5,Memoria 1,F:\Film Miei HD\Le Crociate HD.mkv,2026-08-20
"Le Cronache Di Narnia - Il Leone, La Strega E L'Armadio",Film,,,,"Le Cronache Di Narnia - Il Leone, La Strega E L'Armadio HD.mkv",.,.mkv,4474.0,Memoria 2,"F:Le Cronache Di Narnia - Il Leone, La Strega E L'Armadio HD.mkv",2026-08-20
Le Cronache Di Narnia - Il Principe Caspian,Film,,,,Le Cronache Di Narnia - Il Principe Caspian HD.mkv,.,.mkv,4474.9,Memoria 2,F:Le Cronache Di Narnia - Il Principe Caspian HD.mkv,2026-08-20
Le Cronache Di Narnia - Il Viaggio Del Veliero,Film,,,,Le Cronache Di Narnia - Il Viaggio Del Veliero HD.mkv,.,.mkv,4480.9,Memoria 2,F:Le Cronache Di Narnia - Il Viaggio Del Veliero HD.mkv,2026-08-20
Le Due Vie Del Destino,Film,,,,Le Due Vie Del Destino HD.mkv,.,.mkv,9318.1,Memoria 1,F:\Film Miei HD\Le Due Vie Del Destino HD.mkv,2026-08-20
Le Follie Dell'Imperatore,Film,,,,Le Follie Dell'Imperatore HD.mkv,.,.mkv,2207.2,Memoria 1,F:\Film Miei HD\Le Follie Dell'Imperatore HD.mkv,2026-08-20
Le Idi Di Marzo,Film,,,,Le Idi Di Marzo HD.mkv,.,.mkv,5865.1,Memoria 1,F:\Film Miei HD\Le Idi Di Marzo HD.mkv,2026-08-20
Le Iene,Film,,,,Le Iene HD.mkv,.,.mkv,4484.3,Memoria 1,F:\Film Miei HD\Le Iene HD.mkv,2026-08-20
Le Mans '66 - La Grande Sfida,Film,,,,Le Mans '66 - La Grande Sfida HD.mkv,.,.mkv,,Memoria 3,F:\Le Mans '66 - La Grande Sfida HD.mkv,2026-08-20
Le Pagine Della Nostra Vita,Film,,,,Le Pagine Della Nostra Vita HD.mkv,.,.mkv,8934.4,Memoria 1,F:\Film Miei HD\Le Pagine Della Nostra Vita HD.mkv,2026-08-20
Le Ragazze Di Wall Street,Film,,,,Le Ragazze Di Wall Street HD.mkv,.,.mkv,,Memoria 3,F:\Le Ragazze Di Wall Street HD.mkv,2026-08-20
Legend,Film,,,,Legend HD.mkv,.,.mkv,11120.4,Memoria 2,F:Legend HD.mkv,2026-08-20
Les Misérables,Film,,,,Les Misérables HD.mkv,.,.mkv,8150.2,Memoria 1,F:\Film Miei HD\Les Misérables HD.mkv,2026-08-20
Life Happens,Film,,,,Life Happens HD.mkv,.,.mkv,7320.7,Memoria 2,F:Life Happens HD.mkv,2026-08-20
Limitless,Film,,,,Limitless HD.mkv,.,.mkv,8147.6,Memoria 1,F:\Film Miei HD\Limitless HD.mkv,2026-08-20
Lion - La Strada Verso Casa,Film,,,,Lion - La Strada Verso Casa HD.mkv,.,.mkv,,Memoria 3,F:\Lion - La Strada Verso Casa HD.mkv,2026-08-20
Little Sister,Film,,,,Little Sister HD.mkv,.,.mkv,,Memoria 3,F:\Little Sister HD.mkv,2026-08-20
Lo Chiamavano Jeeg Robot,Film,,,,Lo Chiamavano Jeeg Robot HD.mkv,.,.mkv,11833.6,Memoria 2,F:Lo Chiamavano Jeeg Robot HD.mkv,2026-08-20
Lo Hobbit - La Battaglia Delle Cinque Armate,Film,,,,Lo Hobbit - La Battaglia Delle Cinque Armate (Extended) HD.mkv,.,.mkv,9298.6,Memoria 1,F:\Film Miei HD\Lo Hobbit - La Battaglia Delle Cinque Armate (Extended) HD.mkv,2026-08-20
Lo Hobbit - La Desolazione Di Smaug,Film,,,,Lo Hobbit - La Desolazione Di Smaug (Extended) HD.mkv,.,.mkv,13956.4,Memoria 1,F:\Film Miei HD\Lo Hobbit - La Desolazione Di Smaug (Extended) HD.mkv,2026-08-20
Lo Hobbit - Un Viaggio Inaspettato,Film,,,,Lo Hobbit - Un Viaggio Inaspettato (Extended) HD.mkv,.,.mkv,8147.0,Memoria 1,F:\Film Miei HD\Lo Hobbit - Un Viaggio Inaspettato (Extended) HD.mkv,2026-08-20
Lo Sciacallo,Film,,,,Lo Sciacallo HD.mkv,.,.mkv,10289.2,Memoria 1,F:\Film Miei HD\Lo Sciacallo HD.mkv,2026-08-20
Logan - The Wolverine,Film,,,,Logan - The Wolverine HD.mkv,.,.mkv,,Memoria 3,F:\Logan - The Wolverine HD.mkv,2026-08-20
Loro,Film,,,,Loro HD.mkv,.,.mkv,,Memoria 3,F:\Loro HD.mkv,2026-08-20
Loro Chi,Film,,,,Loro Chi HD.mkv,.,.mkv,8181.5,Memoria 2,F:Loro Chi HD.mkv,2026-08-20
Lucia E Il Sesso,Film,,,,Lucia E Il Sesso HD.mkv,.,.mkv,,Memoria 3,F:\Lucia E Il Sesso HD.mkv,2026-08-20
Lucy,Film,,,,Lucy HD.mkv,.,.mkv,8295.4,Memoria 1,F:\Film Miei HD\Lucy HD.mkv,2026-08-20
Made In Italy,Film,,,,Made In Italy HD.mkv,.,.mkv,,Memoria 3,F:\Made In Italy HD.mkv,2026-08-20
Magic In The Moonlight,Film,,,,Magic In The Moonlight HD.mkv,.,.mkv,8072.3,Memoria 2,F:Magic In The Moonlight HD.mkv,2026-08-20
Magic Mike,Film,,,,Magic Mike HD.mkv,.,.mkv,8147.5,Memoria 1,F:\Film Miei HD\Magic Mike HD.mkv,2026-08-20
Magnolia,Film,,,,Magnolia HD.mkv,.,.mkv,,Memoria 3,F:\Magnolia HD.mkv,2026-08-20
Maleficent,Film,,,,Maleficent HD.mkv,.,.mkv,8267.5,Memoria 1,F:\Film Miei HD\Maleficent HD.mkv,2026-08-20
Maleficent 2 - Signora Del Male,Film,,,,Maleficent 2 - Signora Del Male HD.mkv,.,.mkv,,Memoria 3,F:\Maleficent 2 - Signora Del Male HD.mkv,2026-08-20
Malena,Film,,,,Malena HD.mkv,.,.mkv,9723.5,Memoria 1,F:\Film Miei HD\Malena HD.mkv,2026-08-20
Man Of Tai Chi,Film,,,,Man Of Tai Chi HD.mkv,.,.mkv,1926.1,Memoria 1,F:\Film Miei HD\Man Of Tai Chi HD.mkv,2026-08-20
Man On Fire,Film,,,,Man On Fire HD.mkv,.,.mkv,8150.6,Memoria 1,F:\Film Miei HD\Man On Fire HD.mkv,2026-08-20
Manhattan,Film,,,,Manhattan HD.mkv,.,.mkv,8148.2,Memoria 2,F:Manhattan HD.mkv,2026-08-20
Maria Regina Di Scozia,Film,,,,Maria Regina Di Scozia HD.mkv,.,.mkv,,Memoria 3,F:\Maria Regina Di Scozia HD.mkv,2026-08-20
Masterminds - I Geni Della Truffa,Film,,,,Masterminds - I Geni Della Truffa HD.mkv,.,.mkv,,Memoria 3,F:\Masterminds - I Geni Della Truffa HD.mkv,2026-08-20
Maze Runner - Il Labirinto,Film,,,,Maze Runner - Il Labirinto HD.mkv,.,.mkv,9265.4,Memoria 1,F:\Film Miei HD\Maze Runner - Il Labirinto HD.mkv,2026-08-20
Maze Runner - Il Labirinto,Film,,,,Maze Runner - Il Labirinto HD.mkv,.,.mkv,7936.1,Memoria 2,F:Maze Runner - Il Labirinto HD.mkv,2026-08-20
Maze Runner - La Fuga,Film,,,,Maze Runner - La Fuga HD.mkv,.,.mkv,7440.6,Memoria 2,F:Maze Runner - La Fuga HD.mkv,2026-08-20
Memento,Film,,,,Memento HD.mkv,.,.mkv,4482.7,Memoria 1,F:\Film Miei HD\Memento HD.mkv,2026-08-20
Memorie Di Una Geisha,Film,,,,Memorie Di Una Geisha HD.mkv,.,.mkv,,Memoria 3,F:\Memorie Di Una Geisha HD.mkv,2026-08-20
Men in Black,Film,,,,Men in Black HD.mkv,.,.mkv,,Memoria 3,F:\Men in Black HD.mkv,2026-08-20
Men In Black 3,Film,,,,Men In Black 3 HD.mkv,.,.mkv,15446.3,Memoria 1,F:\Film Miei HD\Men In Black 3 HD.mkv,2026-08-20
Men in Black II,Film,,,,Men in Black II HD.mkv,.,.mkv,,Memoria 3,F:\Men in Black II HD.mkv,2026-08-20
Millennium - Uomini Che Odiano Le Donne,Film,,,,Millennium - Uomini Che Odiano Le Donne HD.mkv,.,.mkv,26352.4,Memoria 1,F:\Film Miei HD\Millennium - Uomini Che Odiano Le Donne HD.mkv,2026-08-20
Millennium - Uomini Che Odiano Le Donne Vecchio,Film,,,,Millennium - Uomini Che Odiano Le Donne Vecchio HD.mkv,.,.mkv,10017.5,Memoria 1,F:\Film Miei HD\Millennium - Uomini Che Odiano Le Donne Vecchio HD.mkv,2026-08-20
Million Dollar Baby,Film,,,,Million Dollar Baby HD.mkv,.,.mkv,8150.0,Memoria 1,F:\Film Miei HD\Million Dollar Baby HD.mkv,2026-08-20
Miriam Si Sveglia A Mezzanotte,Film,,,,Miriam Si Sveglia A Mezzanotte HD.mkv,.,.mkv,3698.6,Memoria 2,F:Miriam Si Sveglia A Mezzanotte HD.mkv,2026-08-20
Miss Peregrine - La Casa Dei Ragazzi Speciali,Film,,,,Miss Peregrine - La Casa Dei Ragazzi Speciali HD.mkv,.,.mkv,11276.0,Memoria 2,F:Miss Peregrine - La Casa Dei Ragazzi Speciali HD.mkv,2026-08-20
Miss Peregrine - La Casa Dei Ragazzi Speciali,Film,,,,Miss Peregrine - La Casa Dei Ragazzi Speciali HD.mkv,.,.mkv,,Memoria 3,F:\Miss Peregrine - La Casa Dei Ragazzi Speciali HD.mkv,2026-08-20
Mission Impossible,Film,,,,Mission Impossible HD.mkv,.,.mkv,,Memoria 3,F:\Mission Impossible HD.mkv,2026-08-20
Mission Impossible - Protocollo Fantasma,Film,,,,Mission Impossible - Protocollo Fantasma HD.mkv,.,.mkv,,Memoria 3,F:\Mission Impossible - Protocollo Fantasma HD.mkv,2026-08-20
Mission Impossible - Rogue Nation,Film,,,,Mission Impossible - Rogue Nation HD.mkv,.,.mkv,,Memoria 3,F:\Mission Impossible - Rogue Nation HD.mkv,2026-08-20
Mission Impossible II,Film,,,,Mission Impossible II HD.mkv,.,.mkv,,Memoria 3,F:\Mission Impossible II HD.mkv,2026-08-20
Mission Impossible III,Film,,,,Mission Impossible III HD.mkv,.,.mkv,,Memoria 3,F:\Mission Impossible III HD.mkv,2026-08-20
Mister Chocolat,Film,,,,Mister Chocolat HD.mkv,.,.mkv,,Memoria 3,F:\Mister Chocolat HD.mkv,2026-08-20
Moglie E Marito,Film,,,,Moglie E Marito HD.mkv,.,.mkv,,Memoria 3,F:\Moglie E Marito HD.mkv,2026-08-20
Molly's Game,Film,,,,Molly's Game HD.mkv,.,.mkv,,Memoria 3,F:\Molly's Game HD.mkv,2026-08-20
Money Monster - L'Altra Faccia Del Denaro,Film,,,,Money Monster - L'Altra Faccia Del Denaro HD.mkv,.,.mkv,,Memoria 3,F:\Money Monster - L'Altra Faccia Del Denaro HD.mkv,2026-08-20
Moneyball - L'Arte Di Vincere,Film,,,,Moneyball - L'Arte Di Vincere.mkv,.,.mkv,8147.9,Memoria 1,F:\Film Miei HD\Moneyball - L'Arte Di Vincere.mkv,2026-08-20
Monster & Co,Film,,,,Monster & Co HD.mkv,.,.mkv,7294.0,Memoria 1,F:\Film Miei HD\Monster & Co HD.mkv,2026-08-20
Monsters E Co,Film,,,,(Pixar) - Monsters E Co. HD.mkv,.,.mkv,,Memoria 3,F:\(Pixar) - Monsters E Co. HD.mkv,2026-08-20
Monsters University,Film,,,,(Pixar) - Monsters University HD.mkv,.,.mkv,,Memoria 3,F:\(Pixar) - Monsters University HD.mkv,2026-08-20
Monuments Men,Film,,,,Monuments Men HD.mkv,.,.mkv,11901.2,Memoria 1,F:\Film Miei HD\Monuments Men HD.mkv,2026-08-20
Mortdecai,Film,,,,Mortdecai HD.mkv,.,.mkv,8284.6,Memoria 1,F:\Film Miei HD\Mortdecai HD.mkv,2026-08-20
Mr & Mrs Smith,Film,,,,Mr. & Mrs. Smith HD.mkv,.,.mkv,8139.3,Memoria 1,F:\Film Miei HD\Mr. & Mrs. Smith HD.mkv,2026-08-20
Mr Nobody,Film,,,,Mr. Nobody HD.mkv,.,.mkv,,Memoria 3,F:\Mr. Nobody HD.mkv,2026-08-20
Mud,Film,,,,Mud HD.mkv,.,.mkv,11305.8,Memoria 1,F:\Film Miei HD\Mud HD.mkv,2026-08-20
Mulan,Film,,,,(Disney) - Mulan HD.mkv,.,.mkv,4485.4,Memoria 1,F:\Film Miei HD\(Disney) - Mulan HD.mkv,2026-08-20
Mulholland Drive,Film,,,,Mulholland Drive HD.mp4,.,.mp4,2380.6,Memoria 2,F:Mulholland Drive HD.mp4,2026-08-20
Napoli Velata,Film,,,,Napoli Velata HD.mkv,.,.mkv,,Memoria 3,F:\Napoli Velata HD.mkv,2026-08-20
Nemico Pubblico,Film,,,,Nemico Pubblico HD.mkv,.,.mkv,8146.2,Memoria 1,F:\Film Miei HD\Nemico Pubblico HD.mkv,2026-08-20
Never Back Down,Film,,,,Never Back Down HD.mkv,.,.mkv,4483.4,Memoria 1,F:\Film Miei HD\Never Back Down HD.mkv,2026-08-20
Neverland,Film,,,,Neverland HD.mkv,.,.mkv,10786.3,Memoria 1,F:\Film Miei HD\Neverland HD.mkv,2026-08-20
Noi E La Giulia,Film,,,,Noi E La Giulia HD.mkv,.,.mkv,5447.7,Memoria 2,F:Noi E La Giulia HD.mkv,2026-08-20
Noi Siamo Infinito,Film,,,,Noi Siamo Infinito HD.mkv,.,.mkv,8166.0,Memoria 1,F:\Film Miei HD\Noi Siamo Infinito HD.mkv,2026-08-20
Non Ci Resta Che Piangere,Film,,,,Non Ci Resta Che Piangere HD.mkv,.,.mkv,2909.1,Memoria 2,F:Non Ci Resta Che Piangere HD.mkv,2026-08-20
Non E' Un Paese Per Giovani,Film,,,,Non E' Un Paese Per Giovani HD.mkv,.,.mkv,,Memoria 3,F:\Non E' Un Paese Per Giovani HD.mkv,2026-08-20
Non E' Un Paese Per Vecchi,Film,,,,Non E' Un Paese Per Vecchi HD.mkv,.,.mkv,4476.3,Memoria 1,F:\Film Miei HD\Non E' Un Paese Per Vecchi HD.mkv,2026-08-20
Non Essere Cattivo,Film,,,,Non Essere Cattivo HD.mkv,.,.mkv,4709.2,Memoria 2,F:Non Essere Cattivo HD.mkv,2026-08-20
"Non Guardarmi, Non Ti Sento",Film,,,,"Non Guardarmi, Non Ti Sento HD.mkv",.,.mkv,3978.8,Memoria 2,"F:Non Guardarmi, Non Ti Sento HD.mkv",2026-08-20
Nonno Scatenato,Film,,,,Nonno Scatenato HD.mkv,.,.mkv,,Memoria 3,F:\Nonno Scatenato HD.mkv,2026-08-20
Now You See Me,Film,,,,Now You See Me HD.mkv,.,.mkv,8140.2,Memoria 2,F:Now You See Me HD.mkv,2026-08-20
Now You See Me 2,Film,,,,Now You See Me 2 HD.mkv,.,.mkv,,Memoria 3,F:\Now You See Me 2 HD.mkv,2026-08-20
Nudi E Felici,Film,,,,Nudi E Felici HD.mkv,.,.mkv,12483.4,Memoria 1,F:\Film Miei HD\Nudi E Felici HD.mkv,2026-08-20
Nymphomaniac Vol I,Film,,,,Nymphomaniac Vol I HD.mkv,.,.mkv,3357.3,Memoria 1,F:\Film Miei HD\Nymphomaniac Vol I HD.mkv,2026-08-20
Ocean's Eleven,Film,,,,Ocean's Eleven HD.mkv,.,.mkv,9297.9,Memoria 1,F:\Film Miei HD\Ocean's Eleven HD.mkv,2026-08-20
Ocean's Thirteen,Film,,,,Ocean's Thirteen HD.mkv,.,.mkv,8141.0,Memoria 1,F:\Film Miei HD\Ocean's Thirteen HD.mkv,2026-08-20
Ocean's Twelve,Film,,,,Ocean's Twelve HD.mkv,.,.mkv,,Memoria 3,F:\Ocean's Twelve HD.mkv,2026-08-20
Oceania,Film,,,,Oceania HD.mkv,.,.mkv,,Memoria 3,F:\Oceania HD.mkv,2026-08-20
Ogni Maledetta Domenica,Film,,,,Ogni Maledetta Domenica HD.mkv,.,.mkv,8147.8,Memoria 1,F:\Film Miei HD\Ogni Maledetta Domenica HD.mkv,2026-08-20
Oldboy,Film,2003,,,Oldboy (2003) HD.mkv,.,.mkv,,Memoria 3,F:\Oldboy (2003) HD.mkv,2026-08-20
On The Road,Film,,,,On The Road HD.mkv,.,.mkv,2892.2,Memoria 1,F:\Film Miei HD\On The Road HD.mkv,2026-08-20
One Day,Film,,,,One Day HD.mkv,.,.mkv,5870.3,Memoria 1,F:\Film Miei HD\One Day HD.mkv,2026-08-20
Operazione U N C L E,Film,,,,Operazione U.N.C.L.E. HD.mkv,.,.mkv,7041.6,Memoria 2,F:Operazione U.N.C.L.E. HD.mkv,2026-08-20
Pacific Rim,Film,,,,Pacific Rim HD.mkv,.,.mkv,11820.5,Memoria 1,F:\Film Miei HD\Pacific Rim HD.mkv,2026-08-20
Pacific Rim 2 - La Rivolta,Film,,,,Pacific Rim 2 - La Rivolta HD.mkv,.,.mkv,,Memoria 3,F:\Pacific Rim 2 - La Rivolta HD.mkv,2026-08-20
Pain And Gain - Muscoli E Denaro,Film,,,,Pain And Gain - Muscoli E Denaro HD.mkv,.,.mkv,12124.8,Memoria 1,F:\Film Miei HD\Pain And Gain - Muscoli E Denaro HD.mkv,2026-08-20
Papillon,Film,2017,,,Papillon (2017) HD.mkv,.,.mkv,,Memoria 3,F:\Papillon (2017) HD.mkv,2026-08-20
Paradise Beach - Dentro L'Incubo,Film,,,,Paradise Beach - Dentro L'Incubo HD.mkv,.,.mkv,,Memoria 3,F:\Paradise Beach - Dentro L'Incubo HD.mkv,2026-08-20
Parnassus - L'uomo che voleva ingannare il diavolo,Film,,,,Parnassus - L'uomo che voleva ingannare il diavolo HD.mkv,.,.mkv,4479.0,Memoria 1,F:\Film Miei HD\Parnassus - L'uomo che voleva ingannare il diavolo HD.mkv,2026-08-20
Parto Col Folle,Film,,,,Parto Col Folle HD.mkv,.,.mkv,4476.5,Memoria 1,F:\Film Miei HD\Parto Col Folle HD.mkv,2026-08-20
Passengers,Film,,,,Passengers HD.mkv,.,.mkv,,Memoria 3,F:\Passengers HD.mkv,2026-08-20
Pele,Film,,,,Pele HD.mkv,.,.mkv,,Memoria 3,F:\Pele HD.mkv,2026-08-20
Perfect Day,Film,,,,Perfect Day HD.mkv,.,.mkv,,Memoria 3,F:\Perfect Day HD.mkv,2026-08-20
Perfetti Sconosciuti,Film,,,,Perfetti Sconosciuti HD.mkv,.,.mkv,7521.3,Memoria 2,F:Perfetti Sconosciuti HD.mkv,2026-08-20
Piccoli Brividi,Film,,,,Piccoli Brividi HD.mkv,.,.mkv,8463.5,Memoria 2,F:Piccoli Brividi HD.mkv,2026-08-20
Pirati Dei Caraibi - Ai Confini Del Mondo,Film,,,,Pirati Dei Caraibi - Ai Confini Del Mondo HD.mkv,.,.mkv,8147.6,Memoria 1,F:\Film Miei HD\Pirati Dei Caraibi - Ai Confini Del Mondo HD.mkv,2026-08-20
Pirati dei Caraibi - La Maledizione del Forziere Fantasma,Film,,,,Pirati dei Caraibi - La Maledizione del Forziere Fantasma HD.mkv,.,.mkv,4465.7,Memoria 1,F:\Film Miei HD\Pirati dei Caraibi - La Maledizione del Forziere Fantasma HD.mkv,2026-08-20
Pirati Dei Caraibi - La Maledizione Della Prima Luna,Film,,,,Pirati Dei Caraibi - La Maledizione Della Prima Luna HD.mkv,.,.mkv,8147.0,Memoria 1,F:\Film Miei HD\Pirati Dei Caraibi - La Maledizione Della Prima Luna HD.mkv,2026-08-20
Pirati Dei Caraibi - La Vendetta Di Salazar,Film,,,,Pirati Dei Caraibi - La Vendetta Di Salazar HD.mkv,.,.mkv,,Memoria 3,F:\Pirati Dei Caraibi - La Vendetta Di Salazar HD.mkv,2026-08-20
Pitch Black,Film,,,,Pitch Black HD.mkv,.,.mkv,8147.2,Memoria 1,F:\Film Miei HD\Pitch Black HD.mkv,2026-08-20
Point Break,Film,1991,,,Point Break (1991) HD.mkv,.,.mkv,8144.3,Memoria 2,F:Point Break (1991) HD.mkv,2026-08-20
Point Break,Film,,,,Point Break HD.mkv,.,.mkv,12095.5,Memoria 2,F:Point Break HD.mkv,2026-08-20
Pokémon Detective Pikachu,Film,,,,Pokémon Detective Pikachu HD.mkv,.,.mkv,,Memoria 3,F:\Pokémon Detective Pikachu HD.mkv,2026-08-20
Poli Opposti,Film,,,,Poli Opposti HD.mkv,.,.mkv,7035.6,Memoria 2,F:Poli Opposti HD.mkv,2026-08-20
Poveri Ma Ricchi,Film,,,,Poveri Ma Ricchi HD.mkv,.,.mkv,,Memoria 3,F:\Poveri Ma Ricchi HD.mkv,2026-08-20
Pride And Prejudice And Zombies,Film,,,,Pride And Prejudice And Zombies HD.mkv,.,.mkv,11804.6,Memoria 2,F:Pride And Prejudice And Zombies HD.mkv,2026-08-20
Prince Of Persia - Le Sabbie Del Tempo,Film,,,,Prince Of Persia - Le Sabbie Del Tempo HD.mkv,.,.mkv,4482.0,Memoria 1,F:\Film Miei HD\Prince Of Persia - Le Sabbie Del Tempo HD.mkv,2026-08-20
Prisoners,Film,,,,Prisoners HD.mkv,.,.mkv,8144.7,Memoria 1,F:\Film Miei HD\Prisoners HD.mkv,2026-08-20
Professor Marston And The Wonder Women,Film,,,,Professor Marston And The Wonder Women HD.mkv,.,.mkv,,Memoria 3,F:\Professor Marston And The Wonder Women HD.mkv,2026-08-20
Prometheus,Film,,,,Prometheus HD.mkv,.,.mkv,,Memoria 3,F:\Prometheus HD.mkv,2026-08-20
Proprio Lui,Film,,,,Proprio Lui HD.mkv,.,.mkv,,Memoria 3,F:\Proprio Lui HD.mkv,2026-08-20
Prova A Prendermi,Film,,,,Prova A Prendermi HD.mkv,.,.mkv,21478.1,Memoria 1,F:\Film Miei HD\Prova A Prendermi HD.mkv,2026-08-20
